name,gender,voice_languages,voicebank_types,voice_characteristics,vb_release_date,vb_last_update,creator_name,cover,
SUKI NEKOGA,FEMALE,JAPANESE,VCV,,"February, 20, 2009",,Erukee,http://www.victorviale.com/imagesutau/Nekoga_Suki.jpg,
WICHIKO WAWON,FEMALE,JAPANESE,CV,,"January, 28, 2010",,Wan,http://www.victorviale.com/imagesutau/Wichiko_Wawon.jpg,
SUZAKUPPOID,MALE,JAPANESE,CV,,"October 9, 2008",,Suzaku-P,http://www.victorviale.com/imagesutau/Suzakuppoid.jpg,
TORI SHOUKA,FEMALE,JAPANESE,VCV,,"December, 12, 2008",,Setsumura,http://www.victorviale.com/imagesutau/Tori_Shouka.jpg,
COLON MANAKA,FEMALE,JAPANESE,VCV,,"May 4, 2009",,makrone,http://www.victorviale.com/imagesutau/Colon_Manaka.jpg,
KONKA,FEMALE,JAPANESE,VCV,,"May 11, 2009",,Hitsuji,http://www.victorviale.com/imagesutau/Konka.jpg,
AME AKANE,FEMALE,JAPANESE,VCV,,"May 19, 2009",,Ame,http://www.victorviale.com/imagesutau/Ame_Akane.jpg,
KIRI MIDORINE,MALE,JAPANESE,VCV,,"July 7, 2009",,,http://www.victorviale.com/imagesutau/Kiri_Midorine.jpg,
SAKU KIRINE,MALE,JAPANESE,VCV,,"July 23, 2009",,,http://www.victorviale.com/imagesutau/Saku_Kirine.jpg,
MAYU SUPUNE,FEMALE,JAPANESE,Other,,"June 4, 2009",,Soup Tonic,http://www.victorviale.com/imagesutau/Supune_Mayu.jpg,
PINE NAMARINE,MALE,JAPANESE,CV,,"October 4, 2008",,Hadakaji,http://www.victorviale.com/imagesutau/Pine_Namarine.jpg,
INUHEBI,MALE,JAPANESE,CV,,"December 15, 2008",,h_kazama,http://www.victorviale.com/imagesutau/Inuhebi.jpg,
ICHI INUGA,MALE,JAPANESE,VCV,,"July 13, 2009",,h_kazama,http://www.victorviale.com/imagesutau/Ichi_Nuga.jpg,
